listing_id;available;count
2267402;f;2
2267402;t;363
2272303;f;56
2272303;t;309
2275817;f;365
2275974;f;365
2281598;f;365
2282124;f;300
2282124;t;65
2290250;f;365
2295460;f;13
2295460;t;352
2300660;f;276
2300660;t;89
2314484;f;23
2314484;t;342
2327850;f;365
2327973;f;20
2327973;t;345
2342414;f;233
2342414;t;132
2343911;f;365
2344086;f;365
2344785;f;365
2345576;f;38
2345576;t;327
2347301;f;365
2353432;f;236
2353432;t;129
2354430;f;365
2364864;f;205
2364864;t;160
2368869;f;365
2372749;f;23
2372749;t;342
2381731;f;365
2382064;f;365
2384332;f;365
2388275;f;365
2391988;f;365
2395841;f;365
2396536;f;365
2398995;f;365
2399343;f;365
2400353;f;365
2400486;f;1
2400486;t;364
2403258;f;115
2403258;t;250
2404640;f;365
2405360;f;365
2417145;f;365
2418369;f;365
2423338;f;365
2428434;f;365
2434568;f;220
2434568;t;145
2435572;f;15
2435572;t;350
2449785;f;365
2450025;f;365
2457711;f;365
2459307;f;365
2460851;f;365
2464037;f;365
2464210;f;71
2464210;t;294
2469007;f;358
2469007;t;7
2471617;f;357
2471617;t;8
2472277;f;365
2474754;t;365
2476314;f;365
2477880;f;75
2477880;t;290
2478937;f;220
2478937;t;145
2480621;f;311
2480621;t;54
2482541;f;325
2482541;t;40
2485053;f;365
2491188;f;300
2491188;t;65
2497346;f;70
2497346;t;295
2502135;f;348
2502135;t;17
2511089;f;365
2514858;f;10
2514858;t;355
2518607;f;365
2529643;f;183
2529643;t;182
2533302;f;365
2534067;f;365
2534100;f;353
2534100;t;12
2534166;f;141
2534166;t;224
2535007;f;365
2535685;f;289
2535685;t;76
2536909;f;197
2536909;t;168
2536927;f;206
2536927;t;159
2540900;f;365
2545716;f;365
2550571;f;365
2550665;f;365
2551330;f;335
2551330;t;30
2555144;f;365
2557385;f;365
2565357;f;300
2565357;t;65
2565947;f;82
2565947;t;283
2567880;f;365
2573607;f;360
2573607;t;5
2574202;f;365
2579698;f;175
2579698;t;190
2581386;f;365
2584405;f;365
2584870;f;365
2595280;f;365
2598472;f;116
2598472;t;249
2606699;f;365
2611438;f;353
2611438;t;12
2619648;f;349
2619648;t;16
2622859;f;3
2622859;t;362
2623099;f;209
2623099;t;156
2625330;f;116
2625330;t;249
2629594;f;365
2633912;f;243
2633912;t;122
2638552;f;51
2638552;t;315
2638773;f;108
2638773;t;257
2639206;f;110
2639206;t;255
2639773;f;186
2639773;t;179
2640539;f;1
2640539;t;364
2647276;f;110
2647276;t;255
2647365;f;110
2647365;t;255
2648251;f;260
2648251;t;105
2652378;f;365
2657675;f;365
2661450;f;365
2665706;f;365
2667413;f;194
2667413;t;171
2667541;f;365
2668398;f;311
2668398;t;54
2670363;f;95
2670363;t;270
2676525;f;365
2677110;f;365
2682113;f;365
2694094;f;365
2697739;f;95
2697739;t;270
2700366;f;365
2704035;f;271
2704035;t;94
2705165;f;26
2705165;t;339
2708012;f;365
2708863;f;195
2708863;t;171
2713216;f;365
2719038;f;11
2719038;t;354
2727573;f;365
2728371;f;294
2728371;t;71
2735075;f;365
2739228;f;328
2739228;t;37
2741939;f;351
2741939;t;14
2745483;f;2
2745483;t;363
2745824;f;171
2745824;t;194
2747704;f;365
2749719;f;365
2749780;f;103
2749780;t;262
2754109;f;206
2754109;t;159
2755514;f;365
2761156;f;240
2761156;t;125
2763037;f;129
2763037;t;236
2763386;f;221
2763386;t;144
2775209;f;3
2775209;t;362
2775470;f;358
2775470;t;7
2780062;f;37
2780062;t;328
2783156;f;365
2787342;f;365
2787410;f;365
2788545;f;365
2790963;f;108
2790963;t;257
2793217;f;365
2793978;f;365
2796590;f;365
2797128;f;360
2797128;t;5
2800120;f;349
2800120;t;16
2800887;f;365
2800908;f;365
2802139;f;365
2805147;f;365
2805366;f;365
2807515;f;365
2809026;f;365
2813205;f;358
2813205;t;7
2813295;f;365
2815078;f;41
2815078;t;324
2822772;f;365
2825996;f;365
2827475;f;365
2829338;f;365
2829553;f;269
2829553;t;96
2830788;f;41
2830788;t;324
2833161;f;365
2842228;f;174
2842228;t;191
2842697;f;365
2842942;f;365
2845562;f;365
2845566;f;365
2849298;f;195
2849298;t;170
2853285;f;21
2853285;t;344
2859942;f;365
2861667;f;34
2861667;t;331
2869412;f;365
2870512;f;365
2871016;f;147
2871016;t;218
2879050;f;365
2882337;f;356
2882337;t;9
2891805;f;365
2892186;f;365
2892780;f;365
2902819;f;218
2902819;t;147
2904582;f;365
2910674;f;365
2912309;f;365
2919154;f;36
2919154;t;329
2921938;f;117
2921938;t;248
2922243;f;360
2922243;t;5
2923212;f;365
2924071;f;365
2925820;f;365
2929209;f;365
2929338;f;365
2931148;f;365
2932598;f;365
2933576;f;365
2934419;f;365
2934713;f;365
2939374;f;365
2941459;f;365
2941649;f;365
2942229;f;29
2942229;t;336
2944820;f;365
2945732;f;365
2946162;f;365
2953497;f;341
2953497;t;24
2955565;f;365
2955804;f;365
2956140;f;12
2956140;t;353
2956898;f;365
2957820;f;363
2957820;t;2
2960672;f;365
2960781;f;365
2961379;f;365
2964680;f;365
2964891;f;365
2965812;f;9
2965812;t;356
2966887;f;365
2972015;f;365
2972662;f;365
2972798;f;365
2976795;f;10
2976795;t;355
2977065;f;51
2977065;t;314
2977541;f;365
2981499;f;365
2981842;f;21
2981842;t;344
2981853;f;31
2981853;t;334
2981861;f;12
2981861;t;353
2981875;f;38
2981875;t;327
2984018;f;13
2984018;t;352
2985952;f;191
2985952;t;174
2987736;f;365
2994502;f;301
2994502;t;64
2995257;f;365
2996619;f;365
3000721;f;365
3003918;f;126
3003918;t;239
3003987;f;247
3003987;t;118
3004400;f;306
3004400;t;59
3005180;f;365
3008002;f;365
3008299;f;365
3016543;f;365
3017603;f;365
3018015;f;365
3018468;f;115
3018468;t;250
3029661;f;365
3035403;f;365
3036290;f;365
3036359;f;144
3036359;t;221
3036789;f;365
3037184;f;365
3040881;f;365
3040900;f;365
3045003;f;365
3047061;f;365
3048137;f;365
3049932;f;365
3053820;f;365
3073208;f;365
3076872;f;365
3078208;f;3
3078208;t;362
3081334;f;297
3081334;t;68
3081736;f;365
3082669;f;365
3086023;f;261
3086023;t;104
3087967;f;111
3087967;t;254
3088648;f;305
3088648;t;60
3093087;f;365
3096518;f;365
3098861;f;365
3099026;f;36
3099026;t;329
3099266;f;365
3106890;f;83
3106890;t;282
3107052;f;365
3111787;f;227
3111787;t;138
3120537;f;33
3120537;t;332
3121979;f;365
3137587;f;365
3138408;f;365
3138594;f;355
3138594;t;10
3140562;f;365
3144778;f;365
3146368;f;365
3149073;f;122
3149073;t;243
3150587;f;125
3150587;t;240
3154634;f;365
3155271;f;365
3155284;f;1
3155284;t;364
3159545;f;365
3163509;f;365
3163827;f;365
3164821;f;365
3165475;f;365
3165630;f;365
3167581;t;365
3170422;f;365
3171364;f;365
3172327;f;90
3172327;t;275
3173958;f;276
3173958;t;89
3174322;f;356
3174322;t;9
3174700;f;365
3180371;f;365
3180391;f;115
3180391;t;250
3180607;f;365
3190329;f;365
3194778;f;365
3195440;f;365
3195674;f;365
3201159;f;365
3202543;f;365
3202794;f;365
3203283;f;365
3204444;f;365
3205007;f;365
3206158;f;365
3206556;f;365
3206598;f;365
3207040;f;365
3207755;f;365
3209240;f;365
3214708;f;365
3224028;f;365
3225605;f;359
3225605;t;6
